Driver_ID,Order_ID,Start_Time,Delivery_Time,Delivery_Count,Status
U090,ORD001,2026-04-28 17:52:40,,1,Đang giao hàng
U085,ORD004,2026-04-29 17:52:40,2026-04-29 18:52:40,1,Đã giao hàng
U087,ORD006,2026-04-29 17:52:40,,1,Đang giao hàng
U071,ORD009,2026-04-29 17:52:40,2026-04-29 18:52:40,1,Đã giao hàng
U071,ORD010,2026-05-03 17:52:40,,1,Đang giao hàng
U044,ORD015,2026-04-30 17:52:40,2026-04-30 18:52:40,1,Đã giao hàng
U054,ORD029,2026-04-27 17:52:40,2026-04-27 18:52:40,1,Đã giao hàng
U042,ORD037,2026-05-04 17:52:40,,1,Đang giao hàng
U090,ORD040,2026-04-30 17:52:40,,1,Đang giao hàng
U075,ORD046,2026-05-03 17:52:40,2026-05-03 18:52:40,1,Đã giao hàng
U039,ORD049,2026-04-30 17:52:40,,1,Đang giao hàng
U078,ORD051,2026-04-29 17:52:40,2026-04-29 18:52:40,1,Đã giao hàng
U085,ORD052,2026-04-26 17:52:40,,1,Đang giao hàng
U044,ORD053,2026-04-26 17:52:40,,1,Đang giao hàng
U044,ORD054,2026-04-28 17:52:40,2026-04-28 18:52:40,1,Đã giao hàng
U054,ORD057,2026-04-27 17:52:40,,1,Đang giao hàng
U097,ORD058,2026-04-27 17:52:40,2026-04-27 18:52:40,1,Đã giao hàng
U008,ORD065,2026-04-28 17:52:40,2026-04-28 18:52:40,1,Đã giao hàng
U021,ORD067,2026-04-28 17:52:40,2026-04-28 18:52:40,1,Đã giao hàng
U042,ORD070,2026-05-03 17:52:40,,1,Đang giao hàng
U037,ORD071,2026-04-27 17:52:40,,1,Đang giao hàng
U010,ORD076,2026-04-26 17:52:40,2026-04-26 18:52:40,1,Đã giao hàng
U097,ORD077,2026-05-03 17:52:40,,1,Đang giao hàng
U042,ORD079,2026-04-30 17:52:40,2026-04-30 18:52:40,1,Đã giao hàng
U091,ORD085,2026-05-01 17:52:40,2026-05-01 18:52:40,1,Đã giao hàng
U068,ORD089,2026-05-03 17:52:40,,1,Đang giao hàng
U039,ORD090,2026-04-29 17:52:40,,1,Đang giao hàng
U054,ORD093,2026-04-27 17:52:40,2026-04-27 18:52:40,1,Đã giao hàng
U037,ORD099,2026-05-01 17:52:40,,1,Đang giao hàng
U008,ORD105,2026-05-05 17:52:40,,1,Đang giao hàng
U085,ORD109,2026-04-26 17:52:40,2026-04-26 18:52:40,1,Đã giao hàng
U075,ORD115,2026-05-04 17:52:40,2026-05-04 18:52:40,1,Đã giao hàng
U075,ORD116,2026-05-05 17:52:40,2026-05-05 18:52:40,1,Đã giao hàng
U032,ORD117,2026-05-03 17:52:40,,1,Đang giao hàng
U091,ORD118,2026-04-27 17:52:40,2026-04-27 18:52:40,1,Đã giao hàng
U090,ORD121,2026-05-02 17:52:40,2026-05-02 18:52:40,1,Đã giao hàng
U037,ORD124,2026-04-29 17:52:40,2026-04-29 18:52:40,1,Đã giao hàng
U097,ORD126,2026-04-28 17:52:40,,1,Đang giao hàng
U037,ORD131,2026-05-01 17:52:40,2026-05-01 18:52:40,1,Đã giao hàng
U088,ORD134,2026-04-27 17:52:40,,1,Đang giao hàng
U097,ORD136,2026-04-30 17:52:40,,1,Đang giao hàng
U044,ORD140,2026-04-30 17:52:40,,1,Đang giao hàng
U097,ORD144,2026-04-26 17:52:40,,1,Đang giao hàng
U078,ORD147,2026-04-26 17:52:40,2026-04-26 18:52:40,1,Đã giao hàng
U044,ORD148,2026-05-05 17:52:40,,1,Đang giao hàng
U021,ORD149,2026-05-03 17:52:40,,1,Đang giao hàng
U039,ORD153,2026-04-30 17:52:40,,1,Đang giao hàng
U078,ORD154,2026-04-29 17:52:40,2026-04-29 18:52:40,1,Đã giao hàng
U091,ORD160,2026-04-30 17:52:40,2026-04-30 18:52:40,1,Đã giao hàng
U044,ORD174,2026-04-28 17:52:40,,1,Đang giao hàng
U068,ORD193,2026-05-02 17:52:40,2026-05-02 18:52:40,1,Đã giao hàng
U090,ORD195,2026-05-04 17:52:40,,1,Đang giao hàng
