User_ID,Experience,Start_Date
U008,9,2025-09-17 06:52:40
U010,9,2025-11-26 06:52:40
U020,3,2026-01-15 06:52:40
U021,1,2026-03-18 06:52:40
U032,4,2026-03-11 06:52:40
U037,8,2026-02-15 06:52:40
U039,10,2025-09-17 06:52:40
U042,5,2025-10-11 06:52:40
U044,7,2025-08-25 06:52:40
U054,1,2026-01-11 06:52:40
U068,1,2025-11-17 06:52:40
U071,7,2025-09-12 06:52:40
U075,4,2026-04-12 06:52:40
U078,10,2026-02-01 06:52:40
U085,5,2026-03-22 06:52:40
U087,4,2025-12-26 06:52:40
U088,4,2025-10-13 06:52:40
U090,5,2025-07-11 06:52:40
U091,6,2025-07-25 06:52:40
U097,9,2025-09-23 06:52:40
