User_ID,Certificate
U008,Bằng lái hạng B2
U008,Bằng lái hạng C
U010,Bằng lái hạng A1
U010,Bằng lái hạng B2
U020,Chứng chỉ vận chuyển nguy hiểm
U021,Bằng lái hạng B2
U021,Chứng chỉ vận chuyển nguy hiểm
U032,Bằng lái hạng B2
U032,Chứng chỉ vận chuyển nguy hiểm
U037,Bằng lái hạng B2
U037,Bằng lái hạng C
U039,Chứng chỉ vận chuyển nguy hiểm
U042,Bằng lái hạng A1
U042,Chứng chỉ vận chuyển nguy hiểm
U044,Chứng chỉ vận chuyển nguy hiểm
U044,Bằng lái hạng C
U054,Chứng chỉ vận chuyển nguy hiểm
U054,Bằng lái hạng C
U068,Bằng lái hạng A1
U071,Bằng lái hạng A1
U075,Bằng lái hạng A1
U075,Chứng chỉ vận chuyển nguy hiểm
U078,Bằng lái hạng C
U085,Bằng lái hạng A1
U085,Chứng chỉ vận chuyển nguy hiểm
U087,Bằng lái hạng B2
U087,Bằng lái hạng C
U088,Bằng lái hạng A1
U088,Chứng chỉ vận chuyển nguy hiểm
U090,Bằng lái hạng B2
U090,Bằng lái hạng C
U091,Chứng chỉ vận chuyển nguy hiểm
U097,Bằng lái hạng A1
