ID,Name
L1_00,Thành phố Hà Nội
L1_01,Tỉnh Cao Bằng
L1_02,Tỉnh Tuyên Quang
L1_03,Tỉnh Điện Biên
L1_04,Tỉnh Lai Châu
L1_05,Tỉnh Sơn La
L1_06,Tỉnh Lào Cai
L1_07,Tỉnh Thái Nguyên
L1_08,Tỉnh Lạng Sơn
L1_09,Tỉnh Quảng Ninh
L1_10,Tỉnh Bắc Ninh
L1_11,Tỉnh Phú Thọ
L1_12,Thành phố Hải Phòng
L1_13,Tỉnh Hưng Yên
L1_14,Tỉnh Ninh Bình
L1_15,Tỉnh Thanh Hóa
L1_16,Tỉnh Nghệ An
L1_17,Tỉnh Hà Tĩnh
L1_18,Tỉnh Quảng Trị
L1_19,Thành phố Huế
L1_20,Thành phố Đà Nẵng
L1_21,Tỉnh Quảng Ngãi
L1_22,Tỉnh Gia Lai
L1_23,Tỉnh Khánh Hòa
L1_24,Tỉnh Đắk Lắk
L1_25,Tỉnh Lâm Đồng
L1_26,Tỉnh Đồng Nai
L1_27,Thành phố Hồ Chí Minh
L1_28,Tỉnh Tây Ninh
L1_29,Tỉnh Đồng Tháp
L1_30,Tỉnh Vĩnh Long
L1_31,Tỉnh An Giang
L1_32,Thành phố Cần Thơ
L1_33,Tỉnh Cà Mau
