ID,L1_ID,Name,Local_Hub_ID
L2_000,L1_00,Phường Ba Đình,HUB000
L2_001,L1_00,Phường Ngọc Hà,HUB000
L2_002,L1_00,Phường Giảng Võ,HUB000
L2_003,L1_00,Phường Hoàn Kiếm,HUB000
L2_004,L1_00,Phường Cửa Nam,HUB000
L2_005,L1_00,Phường Phú Thượng,HUB000
L2_006,L1_00,Phường Hồng Hà,HUB000
L2_007,L1_00,Phường Tây Hồ,HUB000
L2_008,L1_00,Phường Bồ Đề,HUB000
L2_009,L1_00,Phường Việt Hưng,HUB000
L2_010,L1_00,Phường Phúc Lợi,HUB000
L2_011,L1_00,Phường Long Biên,HUB000
L2_012,L1_00,Phường Nghĩa Đô,HUB000
L2_013,L1_00,Phường Cầu Giấy,HUB000
L2_014,L1_00,Phường Yên Hòa,HUB000
L2_015,L1_00,Phường Ô Chợ Dừa,HUB000
L2_016,L1_00,Phường Láng,HUB000
L2_017,L1_00,Phường Kim Liên,HUB000
L2_018,L1_00,Phường Đống Đa,HUB000
L2_019,L1_00,Phường Hai Bà Trưng,HUB000
L2_020,L1_00,Phường Vĩnh Tuy,HUB000
L2_021,L1_00,Phường Bạch Mai,HUB000
L2_022,L1_00,Phường Vĩnh Hưng,HUB000
L2_023,L1_00,Phường Định Công,HUB000
L2_024,L1_00,Phường Hoàng Mai,HUB000
L2_025,L1_00,Phường Thanh Xuân,HUB000
L2_026,L1_00,Phường Từ Liêm,HUB000
L2_027,L1_00,Phường Hà Đông,HUB000
L2_028,L1_00,Xã Sóc Sơn,HUB000
L2_029,L1_00,Xã Đông Anh,HUB000
L2_030,L1_00,Xã Gia Lâm,HUB000
L2_031,L1_00,Xã Thanh Trì,HUB000
L2_032,L1_00,Xã Mê Linh,HUB000
L2_033,L1_00,Xã Ba Vì,HUB000
L2_034,L1_00,Xã Phúc Thọ,HUB000
L2_035,L1_00,Xã Đan Phượng,HUB000
L2_036,L1_00,Xã Hoài Đức,HUB000
L2_037,L1_00,Xã Quốc Oai,HUB000
L2_038,L1_00,Xã Thạch Thất,HUB000
L2_039,L1_00,Xã Chương Mỹ,HUB000
L2_040,L1_00,Xã Thanh Oai,HUB000
L2_041,L1_00,Xã Thường Tín,HUB000
L2_042,L1_00,Xã Phú Xuyên,HUB000
L2_043,L1_00,Xã Vân Đình,HUB000
L2_044,L1_00,Xã Ứng Hòa,HUB000
L2_045,L1_00,Xã Mỹ Đức,HUB000
L2_046,L1_01,Phường Thục Phán,HUB001
L2_047,L1_01,Phường Nùng Trí Cao,HUB001
L2_048,L1_01,Phường Tân Giang,HUB001
L2_049,L1_01,Xã Bảo Lâm,HUB001
L2_050,L1_01,Xã Lý Bôn,HUB001
L2_051,L1_01,Xã Bảo Lạc,HUB001
L2_052,L1_01,Xã Hà Quảng,HUB002
L2_053,L1_01,Xã Trà Lĩnh,HUB002
L2_054,L1_01,Xã Trùng Khánh,HUB002
L2_055,L1_01,Xã Hạ Lang,HUB001
L2_056,L1_01,Xã Quảng Uyên,HUB002
L2_057,L1_01,Xã Phục Hòa,HUB002
L2_058,L1_01,Xã Hòa An,HUB002
L2_059,L1_01,Xã Nguyên Bình,HUB002
L2_060,L1_01,Xã Thạch An,HUB002
L2_061,L1_02,Phường Hà Giang 1,HUB003
L2_062,L1_02,Phường Nông Tiến,HUB003
L2_063,L1_02,Phường Minh Xuân,HUB003
L2_064,L1_02,Phường Mỹ Lâm,HUB003
L2_065,L1_02,Phường An Tường,HUB003
L2_066,L1_02,Phường Bình Thuận,HUB003
L2_067,L1_02,Xã Quản Bạ,HUB003
L2_068,L1_02,Xã Vị Xuyên,HUB003
L2_069,L1_02,Xã Bắc Mê,HUB003
L2_070,L1_02,Xã Hoàng Su Phì,HUB003
L2_071,L1_02,Xã Xín Mần,HUB003
L2_072,L1_02,Xã Bắc Quang,HUB003
L2_073,L1_02,Xã Quang Bình,HUB003
L2_074,L1_02,Xã Nà Hang,HUB003
L2_075,L1_02,Xã Lâm Bình,HUB003
L2_076,L1_02,Xã Chiêm Hóa,HUB003
L2_077,L1_02,Xã Hàm Yên,HUB003
L2_078,L1_02,Xã Sơn Dương,HUB003
L2_079,L1_03,Phường Điện Biên Phủ,HUB005
L2_080,L1_03,Phường Mường Lay,HUB005
L2_081,L1_03,Phường Mường Thanh,HUB006
L2_082,L1_03,Xã Sín Thầu,HUB004
L2_083,L1_03,Xã Mường Nhé,HUB004
L2_084,L1_03,Xã Nậm Kè,HUB004
L2_085,L1_03,Xã Mường Chà,HUB004
L2_086,L1_03,Xã Tủa Chùa,HUB004
L2_087,L1_03,Xã Tuần Giáo,HUB006
L2_088,L1_03,Xã Mường Ảng,HUB004
L2_089,L1_03,Xã Điện Biên Đông,HUB004
L2_090,L1_04,Phường Đoàn Kết,HUB007
L2_091,L1_04,Phường Tân Phòng,HUB007
L2_092,L1_04,Xã Bình Lư,HUB009
L2_093,L1_04,Xã Sin Suối Hồ,HUB007
L2_094,L1_04,Xã Bản Bo,HUB007
L2_095,L1_04,Xã Nậm Hàng,HUB007
L2_096,L1_04,Xã Mường Tè,HUB009
L2_097,L1_04,Xã Sìn Hồ,HUB009
L2_098,L1_04,Xã Phong Thổ,HUB008
L2_099,L1_04,Xã Than Uyên,HUB009
L2_100,L1_04,Xã Tân Uyên,HUB007
L2_101,L1_05,Phường Tô Hiệu,HUB010
L2_102,L1_05,Phường Chiềng An,HUB010
L2_103,L1_05,Phường Chiềng Cơi,HUB011
L2_104,L1_05,Phường Chiềng Sinh,HUB011
L2_105,L1_05,Phường Mộc Sơn,HUB010
L2_106,L1_05,Phường Mộc Châu,HUB011
L2_107,L1_05,Xã Quỳnh Nhai,HUB010
L2_108,L1_05,Xã Thuận Châu,HUB011
L2_109,L1_05,Xã Mường La,HUB010
L2_110,L1_05,Xã Bắc Yên,HUB011
L2_111,L1_05,Xã Phù Yên,HUB010
L2_112,L1_05,Xã Yên Châu,HUB010
L2_113,L1_05,Xã Mai Sơn,HUB011
L2_114,L1_05,Xã Sông Mã,HUB010
L2_115,L1_06,Phường Trung Tâm Lào Cai,HUB013
L2_116,L1_06,Quận 1,HUB014
L2_117,L1_06,Quận 2,HUB013
L2_118,L1_06,Huyện Ngoại Ô,HUB013
L2_119,L1_07,Phường Đức Xuân,HUB015
L2_120,L1_07,Phường Bắc Kạn,HUB015
L2_121,L1_07,Phường Phan Đình Phùng,HUB015
