Order_ID,Hub_ID,Arrival,Departure
ORD001,HUB019,2026-04-28 08:52:40,2026-04-28 10:52:40
ORD001,HUB002,2026-04-28 16:52:40,
ORD002,HUB011,2026-05-05 08:52:40,
ORD003,HUB003,2026-05-05 08:52:40,2026-05-05 10:52:40
ORD004,HUB017,2026-04-29 08:52:40,2026-04-29 10:52:40
ORD004,HUB021,2026-04-29 16:52:40,
ORD005,HUB002,2026-05-02 08:52:40,2026-05-02 10:52:40
ORD006,HUB009,2026-04-29 08:52:40,2026-04-29 10:52:40
ORD006,HUB015,2026-04-29 16:52:40,
ORD007,HUB029,2026-05-03 08:52:40,
ORD008,HUB003,2026-04-27 08:52:40,2026-04-27 10:52:40
ORD009,HUB044,2026-04-29 08:52:40,2026-04-29 10:52:40
ORD009,HUB024,2026-04-29 16:52:40,
ORD010,HUB063,2026-05-03 08:52:40,2026-05-03 10:52:40
ORD010,HUB060,2026-05-03 16:52:40,
ORD012,HUB003,2026-05-03 08:52:40,2026-05-03 10:52:40
ORD013,HUB000,2026-05-04 08:52:40,2026-05-04 10:52:40
ORD015,HUB060,2026-04-30 08:52:40,2026-04-30 10:52:40
ORD015,HUB030,2026-04-30 16:52:40,
ORD016,HUB000,2026-05-04 08:52:40,
ORD018,HUB021,2026-04-26 08:52:40,
ORD019,HUB000,2026-04-27 08:52:40,2026-04-27 10:52:40
ORD022,HUB065,2026-04-29 08:52:40,
ORD023,HUB010,2026-04-29 08:52:40,2026-04-29 10:52:40
ORD025,HUB041,2026-04-27 08:52:40,
ORD026,HUB000,2026-04-28 08:52:40,
ORD027,HUB000,2026-04-26 08:52:40,
ORD029,HUB036,2026-04-27 08:52:40,2026-04-27 10:52:40
ORD029,HUB003,2026-04-27 16:52:40,
ORD030,HUB022,2026-05-05 08:52:40,
ORD031,HUB027,2026-04-29 08:52:40,2026-04-29 10:52:40
ORD035,HUB026,2026-05-01 08:52:40,
ORD037,HUB050,2026-05-04 08:52:40,2026-05-04 10:52:40
ORD037,HUB019,2026-05-04 16:52:40,
ORD038,HUB038,2026-04-30 08:52:40,2026-04-30 10:52:40
ORD039,HUB063,2026-05-05 08:52:40,2026-05-05 10:52:40
ORD040,HUB015,2026-04-30 08:52:40,2026-04-30 10:52:40
ORD040,HUB000,2026-04-30 16:52:40,
ORD042,HUB022,2026-04-30 08:52:40,
ORD044,HUB000,2026-05-03 08:52:40,2026-05-03 10:52:40
ORD045,HUB022,2026-05-02 08:52:40,
ORD046,HUB015,2026-05-03 08:52:40,2026-05-03 10:52:40
ORD046,HUB043,2026-05-03 16:52:40,
ORD047,HUB027,2026-05-05 08:52:40,2026-05-05 10:52:40
ORD048,HUB015,2026-04-27 08:52:40,
ORD049,HUB033,2026-04-30 08:52:40,2026-04-30 10:52:40
ORD049,HUB024,2026-04-30 16:52:40,
ORD050,HUB017,2026-05-05 08:52:40,
ORD051,HUB007,2026-04-29 08:52:40,2026-04-29 10:52:40
ORD051,HUB000,2026-04-29 16:52:40,
ORD052,HUB000,2026-04-26 08:52:40,2026-04-26 10:52:40
