Payment_ID,User_ID,Amount,Status,Payment_Time,Type,Details,Order_ID,Shipment_ID
PAY_ORD004_FEE,U014,43000,Thành công,2026-04-29 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD004,ORD004,
PAY_ORD009_FEE,U009,25000,Thành công,2026-04-29 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD009,ORD009,
PAY_ORD009_COD,U009,300000,Thành công,2026-04-29 19:52:40,Order Income,Tiền thu hộ COD đơn ORD009,ORD009,
PAY_ORD015_FEE,U048,48000,Thành công,2026-04-30 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD015,ORD015,
PAY_ORD029_FEE,U069,24000,Thành công,2026-04-27 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD029,ORD029,
PAY_ORD046_FEE,U011,30000,Thành công,2026-05-03 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD046,ORD046,
PAY_ORD051_FEE,U049,32000,Thành công,2026-04-29 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD051,ORD051,
PAY_ORD051_COD,U049,300000,Thành công,2026-04-29 19:52:40,Order Income,Tiền thu hộ COD đơn ORD051,ORD051,
PAY_ORD054_FEE,U066,21000,Thành công,2026-04-28 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD054,ORD054,
PAY_ORD058_FEE,U009,24000,Thành công,2026-04-27 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD058,ORD058,
PAY_ORD065_FEE,U092,24000,Thành công,2026-04-28 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD065,ORD065,
PAY_ORD067_FEE,U093,33000,Thành công,2026-04-28 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD067,ORD067,
PAY_ORD067_COD,U093,300000,Thành công,2026-04-28 19:52:40,Order Income,Tiền thu hộ COD đơn ORD067,ORD067,
PAY_ORD076_FEE,U079,44000,Thành công,2026-04-26 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD076,ORD076,
PAY_ORD079_FEE,U041,23000,Thành công,2026-04-30 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD079,ORD079,
PAY_ORD079_COD,U041,150000,Thành công,2026-04-30 19:52:40,Order Income,Tiền thu hộ COD đơn ORD079,ORD079,
PAY_ORD085_FEE,U018,50000,Thành công,2026-05-01 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD085,ORD085,
PAY_ORD085_COD,U018,50000,Thành công,2026-05-01 19:52:40,Order Income,Tiền thu hộ COD đơn ORD085,ORD085,
PAY_ORD093_FEE,U017,36000,Thành công,2026-04-27 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD093,ORD093,
PAY_ORD093_COD,U017,300000,Thành công,2026-04-27 19:52:40,Order Income,Tiền thu hộ COD đơn ORD093,ORD093,
PAY_ORD109_FEE,U079,28000,Thành công,2026-04-26 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD109,ORD109,
PAY_ORD109_COD,U079,50000,Thành công,2026-04-26 19:52:40,Order Income,Tiền thu hộ COD đơn ORD109,ORD109,
PAY_ORD115_FEE,U081,17000,Thành công,2026-05-04 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD115,ORD115,
PAY_ORD116_FEE,U026,36000,Thành công,2026-05-05 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD116,ORD116,
PAY_ORD116_COD,U026,50000,Thành công,2026-05-05 19:52:40,Order Income,Tiền thu hộ COD đơn ORD116,ORD116,
PAY_ORD118_FEE,U099,35000,Thành công,2026-04-27 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD118,ORD118,
PAY_ORD118_COD,U099,300000,Thành công,2026-04-27 19:52:40,Order Income,Tiền thu hộ COD đơn ORD118,ORD118,
PAY_ORD121_FEE,U092,29000,Thành công,2026-05-02 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD121,ORD121,
PAY_ORD121_COD,U092,150000,Thành công,2026-05-02 19:52:40,Order Income,Tiền thu hộ COD đơn ORD121,ORD121,
PAY_ORD124_FEE,U052,48000,Thành công,2026-04-29 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD124,ORD124,
PAY_ORD124_COD,U052,300000,Thành công,2026-04-29 19:52:40,Order Income,Tiền thu hộ COD đơn ORD124,ORD124,
PAY_ORD131_FEE,U098,37000,Thành công,2026-05-01 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD131,ORD131,
PAY_ORD131_COD,U098,300000,Thành công,2026-05-01 19:52:40,Order Income,Tiền thu hộ COD đơn ORD131,ORD131,
PAY_ORD147_FEE,U073,36000,Thành công,2026-04-26 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD147,ORD147,
PAY_ORD147_COD,U073,50000,Thành công,2026-04-26 19:52:40,Order Income,Tiền thu hộ COD đơn ORD147,ORD147,
PAY_ORD154_FEE,U065,22000,Thành công,2026-04-29 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD154,ORD154,
PAY_ORD154_COD,U065,50000,Thành công,2026-04-29 19:52:40,Order Income,Tiền thu hộ COD đơn ORD154,ORD154,
PAY_ORD160_FEE,U074,32000,Thành công,2026-04-30 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD160,ORD160,
PAY_ORD160_COD,U074,50000,Thành công,2026-04-30 19:52:40,Order Income,Tiền thu hộ COD đơn ORD160,ORD160,
PAY_ORD193_FEE,U046,36000,Thành công,2026-05-02 18:52:40,Customer Order,Thanh toán phí vận chuyển đơn ORD193,ORD193,
