Driver_ID,Order_ID,Start_Time,Pickup_Time,Pickup_Count,Status
U054,ORD001,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U068,ORD002,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U071,ORD003,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U087,ORD004,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U090,ORD005,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U097,ORD006,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U044,ORD007,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U090,ORD008,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U020,ORD009,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U097,ORD010,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U097,ORD012,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U020,ORD013,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U010,ORD015,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U037,ORD016,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U068,ORD018,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U054,ORD019,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U075,ORD022,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U071,ORD023,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U078,ORD025,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U091,ORD026,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U085,ORD027,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U087,ORD029,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U010,ORD030,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U068,ORD031,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U097,ORD035,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U037,ORD037,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U075,ORD038,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U032,ORD039,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U032,ORD040,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U087,ORD042,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U037,ORD044,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U020,ORD045,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U037,ORD046,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U032,ORD047,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U087,ORD048,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U085,ORD049,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U032,ORD050,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U071,ORD051,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U088,ORD052,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U068,ORD053,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U008,ORD054,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U088,ORD055,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U021,ORD056,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U090,ORD057,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U010,ORD058,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U078,ORD059,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U044,ORD060,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U008,ORD061,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U054,ORD062,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U008,ORD065,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U020,ORD067,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U075,ORD068,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U078,ORD069,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U090,ORD070,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U085,ORD071,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U008,ORD072,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U042,ORD073,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U088,ORD076,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U097,ORD077,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U042,ORD079,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U008,ORD080,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U085,ORD082,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U021,ORD083,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U021,ORD084,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U008,ORD085,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U037,ORD086,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U071,ORD087,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U021,ORD088,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U090,ORD089,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U008,ORD090,2026-04-29 06:52:40,2026-04-29 07:52:40,1,Đã lấy hàng
U039,ORD092,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U021,ORD093,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U008,ORD095,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U008,ORD096,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U085,ORD097,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U020,ORD099,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U054,ORD100,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U090,ORD102,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U075,ORD104,2026-05-02 06:52:40,2026-05-02 07:52:40,1,Đã lấy hàng
U097,ORD105,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U042,ORD106,2026-04-28 06:52:40,2026-04-28 07:52:40,1,Đã lấy hàng
U010,ORD108,2026-04-30 06:52:40,2026-04-30 07:52:40,1,Đã lấy hàng
U091,ORD109,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U085,ORD110,2026-04-27 06:52:40,2026-04-27 07:52:40,1,Đã lấy hàng
U088,ORD111,2026-04-26 06:52:40,2026-04-26 07:52:40,1,Đã lấy hàng
U087,ORD112,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
U078,ORD113,2026-05-01 06:52:40,2026-05-01 07:52:40,1,Đã lấy hàng
U090,ORD114,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U010,ORD115,2026-05-04 06:52:40,2026-05-04 07:52:40,1,Đã lấy hàng
U021,ORD116,2026-05-05 06:52:40,2026-05-05 07:52:40,1,Đã lấy hàng
U039,ORD117,2026-05-03 06:52:40,2026-05-03 07:52:40,1,Đã lấy hàng
