Driver_ID,Shipment_ID,Start_Time,End_Time,Destination_Hub_ID
U032,SHIP001,2026-05-01 08:53:11,2026-05-01 10:53:11,HUB044
U071,SHIP002,2026-05-01 10:53:11,2026-05-01 12:53:11,HUB058
U008,SHIP003,2026-05-01 12:53:11,2026-05-01 14:53:11,HUB036
U078,SHIP004,2026-05-01 14:53:11,2026-05-01 18:53:11,HUB040
U071,SHIP005,2026-05-01 16:53:11,2026-05-01 17:53:11,HUB016
U021,SHIP006,2026-05-01 18:53:11,2026-05-01 21:53:11,HUB042
U090,SHIP007,2026-05-01 20:53:11,2026-05-01 23:53:11,HUB034
U078,SHIP008,2026-05-01 22:53:11,,HUB005
U090,SHIP009,2026-05-02 00:53:11,2026-05-02 04:53:11,HUB052
U020,SHIP010,2026-05-02 02:53:11,2026-05-02 06:53:11,HUB017
U010,SHIP011,2026-05-02 04:53:11,2026-05-02 07:53:11,HUB004
U091,SHIP012,2026-05-02 06:53:11,2026-05-02 08:53:11,HUB056
U020,SHIP013,2026-05-02 08:53:11,2026-05-02 09:53:11,HUB059
U068,SHIP014,2026-05-02 10:53:11,2026-05-02 14:53:11,HUB031
U054,SHIP015,2026-05-02 12:53:11,2026-05-02 14:53:11,HUB011
U021,SHIP016,2026-05-02 14:53:11,2026-05-02 15:53:11,HUB026
U085,SHIP017,2026-05-02 16:53:11,2026-05-02 18:53:11,HUB064
U071,SHIP018,2026-05-02 18:53:11,2026-05-02 21:53:11,HUB057
U032,SHIP019,2026-05-02 20:53:11,2026-05-02 21:53:11,HUB002
U078,SHIP020,2026-05-02 22:53:11,2026-05-03 02:53:11,HUB007
U042,SHIP021,2026-05-03 00:53:11,2026-05-03 04:53:11,HUB001
U020,SHIP022,2026-05-03 02:53:11,2026-05-03 04:53:11,HUB014
U010,SHIP023,2026-05-03 04:53:11,,HUB014
U021,SHIP024,2026-05-03 06:53:11,,HUB047
U091,SHIP025,2026-05-03 08:53:11,2026-05-03 11:53:11,HUB049
U042,SHIP026,2026-05-03 10:53:11,2026-05-03 13:53:11,HUB016
U054,SHIP027,2026-05-03 12:53:11,,HUB051
U054,SHIP028,2026-05-03 14:53:11,2026-05-03 15:53:11,HUB038
U091,SHIP029,2026-05-03 16:53:11,2026-05-03 17:53:11,HUB007
U042,SHIP030,2026-05-03 18:53:11,2026-05-03 21:53:11,HUB019
U020,SHIP031,2026-05-03 20:53:11,2026-05-03 22:53:11,HUB048
U032,SHIP032,2026-05-03 22:53:11,,HUB041
U054,SHIP033,2026-05-04 00:53:11,2026-05-04 04:53:11,HUB044
U087,SHIP034,2026-05-04 02:53:11,2026-05-04 06:53:11,HUB057
U021,SHIP035,2026-05-04 04:53:11,2026-05-04 07:53:11,HUB056
U042,SHIP036,2026-05-04 06:53:11,,HUB038
U085,SHIP037,2026-05-04 08:53:11,2026-05-04 09:53:11,HUB058
U054,SHIP038,2026-05-04 10:53:11,2026-05-04 12:53:11,HUB021
U097,SHIP039,2026-05-04 12:53:11,2026-05-04 13:53:11,HUB036
U085,SHIP040,2026-05-04 14:53:11,2026-05-04 17:53:11,HUB036
U091,SHIP041,2026-05-04 16:53:11,2026-05-04 20:53:11,HUB015
U090,SHIP042,2026-05-04 18:53:11,2026-05-04 22:53:11,HUB064
U042,SHIP043,2026-05-04 20:53:11,,HUB055
U085,SHIP044,2026-05-04 22:53:11,2026-05-04 23:53:11,HUB021
U020,SHIP045,2026-05-05 00:53:11,,HUB024
U071,SHIP046,2026-05-05 02:53:11,2026-05-05 05:53:11,HUB018
U020,SHIP047,2026-05-05 04:53:11,2026-05-05 05:53:11,HUB031
U032,SHIP048,2026-05-05 06:53:11,2026-05-05 07:53:11,HUB047
U044,SHIP049,2026-05-05 08:53:11,,HUB039
U008,SHIP050,2026-05-05 10:53:11,2026-05-05 12:53:11,HUB000
