Driver_ID,Shipment_ID,Order_ID
U032,SHIP001,ORD137
U032,SHIP001,ORD012
U071,SHIP002,ORD170
U071,SHIP002,ORD130
U071,SHIP002,ORD089
U071,SHIP002,ORD061
U071,SHIP002,ORD150
U008,SHIP003,ORD180
U008,SHIP003,ORD086
U008,SHIP003,ORD089
U008,SHIP003,ORD106
U078,SHIP004,ORD049
U078,SHIP004,ORD009
U078,SHIP004,ORD116
U071,SHIP005,ORD162
U071,SHIP005,ORD141
U021,SHIP006,ORD161
U021,SHIP006,ORD083
U021,SHIP006,ORD053
U021,SHIP006,ORD030
U090,SHIP007,ORD103
U090,SHIP007,ORD128
U090,SHIP007,ORD154
U090,SHIP007,ORD044
U078,SHIP008,ORD101
U078,SHIP008,ORD040
U078,SHIP008,ORD025
U078,SHIP008,ORD072
U090,SHIP009,ORD192
U090,SHIP009,ORD090
U090,SHIP009,ORD010
U020,SHIP010,ORD032
U020,SHIP010,ORD174
U020,SHIP010,ORD200
U020,SHIP010,ORD053
U010,SHIP011,ORD180
U010,SHIP011,ORD072
U010,SHIP011,ORD110
U010,SHIP011,ORD092
U091,SHIP012,ORD067
U091,SHIP012,ORD049
U091,SHIP012,ORD004
U091,SHIP012,ORD030
U091,SHIP012,ORD020
U020,SHIP013,ORD080
U020,SHIP013,ORD122
U068,SHIP014,ORD138
U068,SHIP014,ORD038
U068,SHIP014,ORD136
U068,SHIP014,ORD198
U054,SHIP015,ORD032
U054,SHIP015,ORD164
U054,SHIP015,ORD001
U021,SHIP016,ORD154
U021,SHIP016,ORD038
U085,SHIP017,ORD137
U085,SHIP017,ORD130
U085,SHIP017,ORD114
U085,SHIP017,ORD077
U085,SHIP017,ORD081
U071,SHIP018,ORD031
U071,SHIP018,ORD093
U071,SHIP018,ORD140
U032,SHIP019,ORD079
U032,SHIP019,ORD068
U032,SHIP019,ORD053
U032,SHIP019,ORD188
U032,SHIP019,ORD032
U078,SHIP020,ORD129
U078,SHIP020,ORD020
U078,SHIP020,ORD101
U078,SHIP020,ORD169
U042,SHIP021,ORD109
U042,SHIP021,ORD061
U020,SHIP022,ORD148
U020,SHIP022,ORD043
U010,SHIP023,ORD062
U010,SHIP023,ORD048
U010,SHIP023,ORD124
U021,SHIP024,ORD079
U021,SHIP024,ORD133
U021,SHIP024,ORD065
U091,SHIP025,ORD013
U091,SHIP025,ORD017
U091,SHIP025,ORD041
U091,SHIP025,ORD199
U091,SHIP025,ORD021
U042,SHIP026,ORD074
U042,SHIP026,ORD196
U054,SHIP027,ORD076
U054,SHIP027,ORD085
U054,SHIP027,ORD175
U054,SHIP027,ORD168
U054,SHIP028,ORD175
U054,SHIP028,ORD117
U054,SHIP028,ORD128
U091,SHIP029,ORD200
U091,SHIP029,ORD163
U091,SHIP029,ORD171
U042,SHIP030,ORD076
U042,SHIP030,ORD159
U020,SHIP031,ORD098
U020,SHIP031,ORD019
U020,SHIP031,ORD031
U032,SHIP032,ORD091
U032,SHIP032,ORD008
U032,SHIP032,ORD158
U032,SHIP032,ORD145
U032,SHIP032,ORD097
U054,SHIP033,ORD068
U054,SHIP033,ORD073
U054,SHIP033,ORD139
U087,SHIP034,ORD086
U087,SHIP034,ORD044
U021,SHIP035,ORD078
U021,SHIP035,ORD124
U021,SHIP035,ORD142
U021,SHIP035,ORD172
U042,SHIP036,ORD086
U042,SHIP036,ORD030
U042,SHIP036,ORD060
U042,SHIP036,ORD032
U042,SHIP036,ORD098
U085,SHIP037,ORD011
U085,SHIP037,ORD034
U085,SHIP037,ORD045
U085,SHIP037,ORD112
U085,SHIP037,ORD130
U054,SHIP038,ORD103
U054,SHIP038,ORD045
U054,SHIP038,ORD034
U054,SHIP038,ORD187
U054,SHIP038,ORD189
U097,SHIP039,ORD004
U097,SHIP039,ORD066
U097,SHIP039,ORD157
U085,SHIP040,ORD184
U085,SHIP040,ORD085
U085,SHIP040,ORD083
U085,SHIP040,ORD112
U091,SHIP041,ORD084
U091,SHIP041,ORD150
U090,SHIP042,ORD092
U090,SHIP042,ORD094
U042,SHIP043,ORD189
U042,SHIP043,ORD028
U085,SHIP044,ORD027
U085,SHIP044,ORD162
U020,SHIP045,ORD020
U020,SHIP045,ORD086
U020,SHIP045,ORD019
U020,SHIP045,ORD047
U020,SHIP045,ORD164
U071,SHIP046,ORD119
U071,SHIP046,ORD135
U071,SHIP046,ORD072
U020,SHIP047,ORD044
U020,SHIP047,ORD197
U020,SHIP047,ORD057
U020,SHIP047,ORD047
U020,SHIP047,ORD054
U032,SHIP048,ORD084
U032,SHIP048,ORD033
U032,SHIP048,ORD015
U032,SHIP048,ORD052
U044,SHIP049,ORD086
U044,SHIP049,ORD072
U044,SHIP049,ORD020
U044,SHIP049,ORD161
U008,SHIP050,ORD152
U008,SHIP050,ORD103
U008,SHIP050,ORD054
